Time,cpu,mem,gpu,gpu video,gpu enhance
9/5/2023 18:29:37,4.17%,29.266 GB,100%,0%,0%
9/5/2023 18:29:38,3.92%,29.265 GB,100%,0%,0%
9/5/2023 18:29:39,3.54%,29.270 GB,100%,0%,0%
9/5/2023 18:29:40,3.71%,29.270 GB,100%,0%,0%
9/5/2023 18:29:41,3.79%,29.270 GB,100%,0%,0%
9/5/2023 18:29:42,0.79%,29.269 GB,12.60%,0%,0%
9/5/2023 18:29:43,1.08%,29.520 GB,0%,0%,0%
9/5/2023 18:29:44,6.92%,29.522 GB,0.25%,0%,0%
9/5/2023 18:29:45,15.90%,29.243 GB,47.60%,0%,0%
9/5/2023 18:29:46,3.75%,29.245 GB,100%,0%,0%
9/5/2023 18:29:47,4.17%,29.240 GB,100%,0%,0%
9/5/2023 18:29:48,3.79%,29.242 GB,100%,0%,0%
9/5/2023 18:29:49,3.71%,29.247 GB,100%,0%,0%
9/5/2023 18:29:50,3.79%,29.245 GB,100%,0%,0%
9/5/2023 18:29:51,3.84%,29.244 GB,100%,0%,0%
9/5/2023 18:29:52,4.50%,29.244 GB,100%,0%,0%
9/5/2023 18:29:53,3.88%,29.242 GB,100%,0%,0%
9/5/2023 18:29:54,3.75%,29.238 GB,100%,0%,0%
9/5/2023 18:29:55,4.08%,29.236 GB,100%,0%,0%
9/5/2023 18:29:56,3.96%,29.235 GB,100%,0%,0%
9/5/2023 18:29:57,3.71%,29.234 GB,100%,0%,0%
9/5/2023 18:29:58,3.87%,29.233 GB,100%,0%,0%
9/5/2023 18:29:58,4.13%,29.232 GB,100%,0%,0%
9/5/2023 18:30:00,4.04%,29.233 GB,100%,0%,0%
9/5/2023 18:30:00,3.88%,29.232 GB,100%,0%,0%
9/5/2023 18:30:02,3.83%,29.231 GB,100%,0%,0%
9/5/2023 18:30:03,3.88%,29.231 GB,100%,0%,0%
9/5/2023 18:30:04,3.87%,29.230 GB,100%,0%,0%
9/5/2023 18:30:05,2.09%,29.231 GB,57.50%,0%,0%
9/5/2023 18:30:06,0.21%,29.517 GB,0%,0%,0%
9/5/2023 18:30:07,2.54%,29.517 GB,0.08%,0%,0%
9/5/2023 18:30:08,17.20%,29.429 GB,0.74%,0%,0%
9/5/2023 18:30:09,4.04%,29.302 GB,100%,0%,0%
9/5/2023 18:30:10,4.08%,29.300 GB,100%,0%,0%
9/5/2023 18:30:11,3.71%,29.298 GB,100%,0%,0%
9/5/2023 18:30:12,3.92%,29.298 GB,100%,0%,0%
9/5/2023 18:30:13,4.59%,29.298 GB,100%,0%,0%
9/5/2023 18:30:14,3.67%,29.305 GB,100%,0%,0%
9/5/2023 18:30:15,3.79%,29.308 GB,100%,0%,0%
9/5/2023 18:30:16,3.92%,29.306 GB,100%,0%,0%
9/5/2023 18:30:17,4.13%,29.305 GB,100%,0%,0%
9/5/2023 18:30:18,3.71%,29.303 GB,100%,0%,0%
9/5/2023 18:30:19,3.79%,29.306 GB,100%,0%,0%
9/5/2023 18:30:20,3.75%,29.305 GB,100%,0%,0%
9/5/2023 18:30:21,4.51%,29.305 GB,100%,0%,0%
9/5/2023 18:30:22,4.05%,29.302 GB,100%,0%,0%
9/5/2023 18:30:23,3.88%,29.301 GB,100%,0%,0%
9/5/2023 18:30:24,4.05%,29.304 GB,100%,0%,0%
9/5/2023 18:30:25,4.29%,29.304 GB,100%,0%,0%
9/5/2023 18:30:26,3.62%,29.301 GB,100%,0%,0%
9/5/2023 18:30:27,4.00%,29.300 GB,100%,0%,0%
9/5/2023 18:30:28,3.67%,29.301 GB,100%,0%,0%
9/5/2023 18:30:29,0.75%,29.530 GB,0%,0%,0%
9/5/2023 18:30:30,1.00%,29.530 GB,0%,0%,0%
9/5/2023 18:30:31,14.40%,29.512 GB,0.29%,0%,0%
9/5/2023 18:30:32,7.92%,29.108 GB,68.20%,0%,0%
9/5/2023 18:30:33,3.88%,29.280 GB,91.00%,0%,0%
9/5/2023 18:30:34,3.96%,29.274 GB,91.40%,0%,0%
9/5/2023 18:30:35,3.67%,29.273 GB,100%,0%,0%
9/5/2023 18:30:36,3.75%,29.273 GB,100%,0%,0%
9/5/2023 18:30:37,4.09%,29.270 GB,100%,0%,0%
9/5/2023 18:30:38,4.09%,29.269 GB,100%,0%,0%
9/5/2023 18:30:39,4.25%,29.278 GB,100%,0%,0%
9/5/2023 18:30:40,4.38%,29.268 GB,100%,0%,0%
